harvest,inside_slash,inside_fence,n,ht2020_cm_avg,ht2019_cm_avg,ht2018_cm_avg,ba_ac_avg,ba_ha_avg,ground_avg,sub_avg,canopy_avg
gas_line,no,no,60,NA,NA,NA,47.5,4.4128944,42.96666666666667,0.26666666666666666,49.666666666666664
gas_line,no,yes,48,NA,NA,NA,27.708333333333332,2.5741884,35.208333333333336,0.3125,37.291666666666664
gas_line,yes,no,145,NA,NA,NA,9.379310344827585,0.8713664441379311,82,0.2413793103448276,11.206896551724139
gas_line,yes,yes,145,NA,NA,NA,12,1.1148364800000001,74.65517241379311,0.13793103448275862,5.6689655172413795
sta_rd,no,no,91,NA,NA,NA,40.05494505494506,3.721226162637363,72.46153846153847,0.15384615384615385,23.24175824175824
sta_rd,no,yes,37,NA,NA,NA,50.270270270270274,4.67026092972973,97.5945945945946,0,34.189189189189186
sta_rd,yes,no,80,NA,NA,21.93925,35.375,3.2864450400000003,60,0.5,25.5
