harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,issue,year
red_pine,no,no,925,ro,NA,65,0,0,14023,23.5,NA,2018
red_pine,no,no,928,ro,NA,30,0,20,14046,9.5,NA,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14017,14,NA,2018
red_pine,yes,no,920,ro,NA,60,0,5,12142,11.5,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12036,11.75,NA,2018
red_pine,yes,no,918,ro,NA,NA,NA,NA,12121,15,NA,2018
red_pine,yes,no,922,ro,NA,30,0,0,14029,6.5,NA,2018
red_pine,no,no,931,ro,NA,85,0,0,14054,19.75,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12064,9.5,NA,2018
red_pine,yes,no,923,rm,NA,45,0,5,14032,12,NA,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14019,10.5,NA,2018
red_pine,no,no,929,rm,NA,80,0,0,14050,12,NA,2018
boot,no,no,901,sb,20,80,0,40,12004,8,NA,2018
boot,no,no,901,sb,20,80,0,40,12006,10.5,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12035,5,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12031,11.5,NA,2018
boot,yes,no,906,sb,NA,50,0,0,12045,7,NA,2018
boot,no,no,907,sb,NA,60,0,10,12053,7,NA,2018
red_pine,no,no,931,rm,NA,85,0,0,14059,12.5,NA,2018
red_pine,yes,no,920,ro,NA,60,0,5,12143,8.5,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14140,7,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12063,12,NA,2018
wedge,yes,no,939,sb,NA,70,0,80,12061,8.5,NA,2018
red_pine,no,no,931,ro,NA,85,0,0,14055,20,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12019,13,NA,2018
boot,no,no,901,sb,20,80,0,40,12005,6.5,NA,2018
red_pine,no,no,931,ro,NA,85,0,0,14056,16,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12037,5.5,NA,2018
boot,no,no,907,sb,NA,60,0,10,12055,6.25,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12029,10,NA,2018
boot,no,no,907,sb,NA,60,0,10,12058,7.5,NA,2018
red_pine,yes,no,922,rm,NA,30,0,0,14024,6.5,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12076,8.75,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12024,10.25,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14136,17.25,NA,2018
red_pine,no,no,931,rm,NA,85,0,0,14056,15,NA,2018
boot,no,no,901,sb,20,80,0,40,12010,7.5,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14143,8.5,NA,2018
red_pine,no,no,927,rm,NA,70,0,0,14043,5.5,NA,2018
boot,no,no,901,sb,20,80,0,40,12003,7.5,NA,2018
boot,no,no,907,sb,NA,60,0,10,12059,6.5,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14006,7.25,NA,2018
wedge,no,no,943,sb,NA,80,0,0,12132,5.5,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14113,0,NA,2018
boot,no,no,907,sb,NA,60,0,10,12054,6,NA,2018
red_pine,yes,no,923,rm,NA,45,0,5,14031,9,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14007,8.25,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14144,12,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14009,8,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12066,8.5,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12067,9.5,NA,2018
red_pine,yes,no,922,ro,NA,30,0,0,14030,8.25,NA,2018
wedge,yes,no,939,sb,NA,70,0,80,12059,8.25,NA,2018
red_pine,yes,no,922,rm,NA,30,0,0,14025,6.25,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12071,10.75,NA,2018
red_pine,yes,no,937,co,NA,25,0,20,14129,8,NA,2018
wedge,yes,no,939,sb,NA,70,0,80,12056,11.5,NA,2018
wedge,no,no,943,sb,NA,80,0,0,12131,9,NA,2018
boot,yes,no,911,rm,NA,25,0,30,12085,4.5,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12020,13.5,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14115,5.5,NA,2018
red_pine,no,no,932,rm,NA,95,0,0,14082,10,NA,2018
red_pine,no,no,932,rm,NA,95,0,0,14083,9,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12079,9,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14138,6.5,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12073,9,NA,2018
boot,yes,no,910,rm,NA,30,0,30,12082,9.5,NA,2018
red_pine,yes,no,937,co,NA,25,0,20,14131,9.5,NA,2018
red_pine,yes,no,923,ro,NA,45,0,5,14011,18.5,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12096,4.5,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12074,5.75,NA,2018
red_pine,no,no,932,ro,NA,95,0,0,14082,15,NA,2018
red_pine,yes,no,923,rm,NA,45,0,5,14030,11,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12027,6.5,NA,2018
red_pine,yes,no,919,ro,NA,75,0,0,12133,6,1,2018
boot,yes,no,905,sb,NA,85,0,5,12040,7,NA,2018
red_pine,no,no,927,ro,NA,70,0,0,14044,12.5,NA,2018
red_pine,no,no,926,ro,NA,40,0,15,14043,7,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12032,9.5,1,2018
wedge,yes,no,939,sb,NA,70,0,80,12055,8,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14008,6.5,NA,2018
boot,no,no,908,sb,NA,60,0,0,12060,6,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12022,10,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12084,7,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14003,6,NA,2018
boot,no,no,907,sb,NA,60,0,10,12057,6.75,NA,2018
red_pine,yes,no,922,rm,NA,30,0,0,14028,7.5,NA,2018
red_pine,no,no,930,rm,NA,40,0,0,14054,6.5,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12030,7.5,NA,2018
wedge,no,no,942,sb,NA,80,0,0,12120,9,1,2018
wedge,yes,no,939,sb,NA,70,0,80,12053,4.5,NA,2018
red_pine,yes,no,936,co,NA,15,0,0,14124,9.75,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12072,8,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12092,7.75,NA,2018
