harvest,species,inside_slash,year,n,avg_ht,sd_ht,avg_basal,sd_basal,avg_ht_cm,sd_ht_cm,avg_basal_sqm,sd_basal_sqm,avg_grdCov,sd_grdCov,avg_subCov,sd_subCov,avg_canCov,sd_canCov
boot,rm,no,2018,11,3.5,0.51234753829798,NA,NA,8.89,1.301362747276869,NA,NA,29.09090909090909,8.312094145936335,0,0,25.454545454545453,9.341987329938275
boot,rm,no,2019,11,4.386363636363637,0.777525211517578,NA,NA,11.141363636363636,1.974914037254648,NA,NA,29.09090909090909,8.312094145936335,0,0,25.454545454545453,9.341987329938275
boot,rm,no,2020,8,4.6875,0.8425090080061035,NA,NA,11.90625,2.139972880335503,NA,NA,26.25,7.44023809142845,0,0,22.5,7.0710678118654755
boot,rm,yes,2018,26,6.865384615384615,2.101464690675017,NA,NA,17.438076923076924,5.337720314314543,NA,NA,41.34615384615385,15.719904090527544,0,0,15.576923076923077,12.595786841394473
boot,rm,yes,2019,26,10.759615384615385,3.9334976606264616,NA,NA,27.329423076923078,9.991084057991213,NA,NA,41.34615384615385,15.719904090527544,0,0,15.576923076923077,12.595786841394473
boot,rm,yes,2020,19,11.789473684210526,4.802533444483246,NA,NA,29.945263157894736,12.198434948987448,NA,NA,42.63157894736842,16.530142589678036,0,0,15.526315789473685,12.681431837544702
boot,sb,no,2018,31,7.870967741935484,3.4850101433029903,NA,NA,19.99225806451613,8.851925763989597,NA,NA,60.645161290322584,20.965922170825642,0,0,24.193548387096776,18.03222921112586
boot,sb,no,2019,27,20.65740740740741,9.492949850604756,NA,NA,52.46981481481482,24.11209262053608,NA,NA,60,22.188007849009164,0,0,25.555555555555557,18.045526471705546
boot,sb,no,2020,27,36.888888888888886,13.83024370810728,NA,NA,93.69777777777777,35.128819018592495,NA,NA,63.7037037037037,20.7824164116888,0,0,27.77777777777778,16.486202467362574
boot,sb,yes,2018,29,9.887931034482758,2.850114508113596,NA,NA,25.115344827586206,7.239290850608534,NA,NA,60.86206896551724,14.019690586383533,0,0,2.586206896551724,2.5427381385780388
boot,sb,yes,2019,20,27.1625,8.289290411507839,NA,NA,68.99275,21.05479764522991,NA,NA,64.75,14.821304012521265,0,0,3.5,2.3508117299081364
boot,sb,yes,2020,27,33.98148148148148,11.562107774205193,NA,NA,86.31296296296297,29.367753746481192,NA,NA,61.666666666666664,14.209964001470128,0,0,2.7777777777777777,2.5318484177091665
red_pine,co,no,2018,27,5.7407407407407405,1.9519239540789293,NA,NA,14.581481481481482,4.957886843360481,NA,NA,16.666666666666668,2.401922307076307,0,0,48.51851851851852,20.700000688164927
red_pine,co,no,2019,27,10.518518518518519,4.243731760992825,NA,NA,26.717037037037038,10.779078672921774,NA,NA,16.666666666666668,2.401922307076307,0,0,48.51851851851852,20.700000688164927
red_pine,co,no,2020,24,12.791666666666666,6.016131695675399,NA,NA,32.490833333333335,15.280974507015511,NA,NA,16.666666666666668,2.407717061715384,0,0,46.666666666666664,20.989990713312086
red_pine,co,yes,2018,22,7.329545454545454,2.2017124877667107,NA,NA,18.617045454545455,5.592349718927445,NA,NA,16.363636363636363,6.396021490668313,0,0,13.636363636363637,9.534625892455923
red_pine,co,yes,2019,22,13.340909090909092,4.665951553124389,NA,NA,33.88590909090909,11.851516944935947,NA,NA,16.363636363636363,6.396021490668313,0,0,13.636363636363637,9.534625892455923
red_pine,co,yes,2020,22,17.863636363636363,5.827238621912609,NA,NA,45.373636363636365,14.801186099658025,NA,NA,16.363636363636363,6.396021490668313,0,0,13.636363636363637,9.534625892455923
red_pine,rm,no,2018,23,8.5,4.359550644066635,NA,NA,21.59,11.073258635929255,NA,NA,68.26086956521739,19.920791768000377,0,0,2.1739130434782608,5.804795618616821
red_pine,rm,no,2019,21,14.571428571428571,9.2429509820805,NA,NA,37.011428571428574,23.477095494484466,NA,NA,67.85714285714286,20.71059080346506,0,0,2.380952380952381,6.045462682675252
red_pine,rm,no,2020,22,20.931818181818183,12.932328864907893,NA,NA,53.166818181818186,32.84811531686605,NA,NA,69.54545454545455,19.390049664042277,0,0,1.5909090909090908,5.206763832784199
red_pine,rm,yes,2018,32,7.2421875,2.3456242505994007,NA,NA,18.39515625,5.957885596522478,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,rm,yes,2019,31,12.879032258064516,5.712147497417942,NA,NA,32.71274193548387,14.508854643441573,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,rm,yes,2020,31,17.35483870967742,8.74947003003334,NA,NA,44.08129032258064,22.223653876284683,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,ro,no,2018,16,8.34375,3.510549577108025,NA,NA,21.193125000000002,8.916795925854384,NA,NA,54.0625,24.167385046793953,0,0,7.5,8.94427190999916
red_pine,ro,no,2019,15,12.705666666666666,6.2685903139230215,NA,NA,32.27239333333333,15.922219397364476,NA,NA,55,24.71263413143742,0,0,8,9.023778112773575
red_pine,ro,no,2020,15,16.966666666666665,7.909006318898788,NA,NA,43.095333333333336,20.088876050002924,NA,NA,55,24.71263413143742,0,0,7,9.023778112773575
red_pine,ro,yes,2018,14,7.464285714285714,3.309161442200947,NA,NA,18.959285714285716,8.405270063190406,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,ro,yes,2019,14,15.053571428571429,9.122657007644257,NA,NA,38.23607142857143,23.171548799416414,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,ro,yes,2020,13,18.692307692307693,11.327581496687745,NA,NA,47.47846153846154,28.77205700158687,NA,NA,NA,NA,NA,NA,NA,NA
wedge,sb,no,2018,13,7.538461538461538,2.569545505058064,NA,NA,19.147692307692306,6.526645582847483,NA,NA,80,0,0,0,0,0
wedge,sb,no,2019,11,14.363636363636363,6.532958399878684,NA,NA,36.483636363636364,16.593714335691857,NA,NA,80,0,0,0,0,0
wedge,sb,no,2020,7,18.285714285714285,12.185569138866484,NA,NA,46.44571428571429,30.951345612720868,NA,NA,80,0,0,0,0,0
wedge,sb,yes,2018,25,9.03,2.4423775984342253,NA,NA,22.9362,6.203639100022932,NA,NA,NA,NA,NA,NA,NA,NA
wedge,sb,yes,2019,25,19.148,7.096191466789304,NA,NA,48.63592,18.024326325644832,NA,NA,NA,NA,NA,NA,NA,NA
wedge,sb,yes,2020,21,26.38095238095238,9.078690381746645,NA,NA,67.00761904761904,23.05987356963648,NA,NA,NA,NA,NA,NA,NA,NA
