harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
red_pine,yes,no,938,co,NA,10,0,20,14143,8.5,2018
red_pine,no,no,927,rm,NA,70,0,0,14043,5.5,2018
boot,no,no,901,sb,20,80,0,40,12003,7.5,2018
boot,no,no,907,sb,NA,60,0,10,12059,6.5,2018
red_pine,yes,no,921,rm,NA,30,0,20,14006,7.25,2018
wedge,no,no,943,sb,NA,80,0,0,12132,5.5,2018
red_pine,no,no,935,co,NA,20,0,50,14113,0,2018
boot,no,no,907,sb,NA,60,0,10,12054,6,2018
red_pine,yes,no,923,rm,NA,45,0,5,14031,9,2018
red_pine,yes,no,921,rm,NA,30,0,20,14007,8.25,2018
red_pine,yes,no,938,co,NA,10,0,20,14144,12,2018
red_pine,yes,no,921,rm,NA,30,0,20,14009,8,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12066,8.5,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12067,9.5,2018
red_pine,yes,no,922,ro,NA,30,0,0,14030,8.25,2018
wedge,yes,no,939,sb,NA,70,0,80,12059,8.25,2018
red_pine,yes,no,922,rm,NA,30,0,0,14025,6.25,2018
wedge,yes,no,941,sb,NA,80,0,40,12071,10.75,2018
red_pine,yes,no,937,co,NA,25,0,20,14129,8,2018
wedge,yes,no,939,sb,NA,70,0,80,12056,11.5,2018
wedge,no,no,943,sb,NA,80,0,0,12131,9,2018
boot,yes,no,911,rm,NA,25,0,30,12085,4.5,2018
boot,yes,no,903,sb,NA,50,0,5,12020,13.5,2018
red_pine,no,no,935,co,NA,20,0,50,14115,5.5,2018
red_pine,no,no,932,rm,NA,95,0,0,14082,10,2018
red_pine,no,no,932,rm,NA,95,0,0,14083,9,2018
wedge,yes,no,941,sb,NA,80,0,40,12079,9,2018
red_pine,yes,no,938,co,NA,10,0,20,14138,6.5,2018
wedge,yes,no,941,sb,NA,80,0,40,12073,9,2018
boot,yes,no,910,rm,NA,30,0,30,12082,9.5,2018
red_pine,yes,no,937,co,NA,25,0,20,14131,9.5,2018
red_pine,no,no,934,co,NA,15,0,70,12096,4.5,2018
wedge,yes,no,941,sb,NA,80,0,40,12074,5.75,2018
red_pine,no,no,932,ro,NA,95,0,0,14082,15,2018
red_pine,yes,no,923,rm,NA,45,0,5,14030,11,2018
boot,yes,no,903,sb,NA,50,0,5,12027,6.5,2018
boot,yes,no,905,sb,NA,85,0,5,12040,7,2018
red_pine,no,no,927,ro,NA,70,0,0,14044,12.5,2018
red_pine,no,no,926,ro,NA,40,0,15,14043,7,2018
wedge,yes,no,939,sb,NA,70,0,80,12055,8,2018
